iter	Passed	Remaining
0	0	31
1	0	27
2	0	28
3	1	26
4	1	27
5	1	28
6	2	28
7	2	28
8	2	28
9	3	28
10	3	28
11	3	28
12	4	28
13	4	27
14	4	27
15	5	26
16	5	26
17	5	26
18	6	26
19	6	25
20	6	25
21	7	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	20
37	12	20
38	12	19
39	13	19
40	13	19
41	13	18
42	13	18
43	14	17
44	14	17
45	14	17
46	15	17
47	15	16
48	16	16
49	16	16
50	16	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	20	13
59	20	13
60	20	13
61	21	12
62	21	12
63	21	12
64	22	12
65	22	11
66	23	11
67	23	11
68	24	10
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	28	7
79	28	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
